Frm_SN,To_SN,Procuct_Id,Sys_Date,Qty,SI,So_Id,Usr_Id
X0A95365900101,X0A95365900200,31010105102,20200416,100,ZJ200414,,12057897
X9K95199303001,X9K95199303100,31010105102,20200416,100,ZJ200414,,12057897
X9K95199303701,X9K95199303800,31010105102,20200416,100,ZJ200414,,12057897
X9K95199302101,X9K95199302200,31010105102,20200416,100,ZJ200414,,12057897
X9K95199302401,X9K95199302500,31010105102,20200416,100,ZJ200414,,12057897
X9K95199302501,X9K95199302600,31010105102,20200416,100,ZJ200414,,12057897
X9K95199305901,X9K95199306000,31010105102,20200416,100,ZJ200414,,12057897
X9K95199305201,X9K95199305300,31010105102,20200416,100,ZJ200414,,12057897
X9K95199302801,X9K95199302900,31010105102,20200416,100,ZJ200414,,12057897
X9K95199303301,X9K95199303400,31010105102,20200416,100,ZJ200414,,12057897
X9K95199304401,X9K95199304500,31010105102,20200416,100,ZJ200414,,12057897
X9K95199303401,X9K95199303500,31010105102,20200416,100,ZJ200414,,12057897
X9K95199303901,X9K95199304000,31010105102,20200416,100,ZJ200414,,12057897
X9K95199305601,X9K95199305700,31010105102,20200416,100,ZJ200414,,12057897
X9K95199305101,X9K95199305200,31010105102,20200416,100,ZJ200414,,12057897
X9K95199302901,X9K95199303000,31010105102,20200416,100,ZJ200414,,12057897
X9K95199303801,X9K95199303900,31010105102,20200416,100,ZJ200414,,12057897
X9K95199303201,X9K95199303300,31010105102,20200416,100,ZJ200414,,12057897
X9K95199302001,X9K95199302100,31010105102,20200416,100,ZJ200414,,12057897
X9K95199303601,X9K95199303700,31010105102,20200416,100,ZJ200414,,12057897
X9K95199302701,X9K95199302800,31010105102,20200416,100,ZJ200414,,12057897
X9K95199303101,X9K95199303200,31010105102,20200416,100,ZJ200414,,12057897
X9K95199304901,X9K95199305000,31010105102,20200416,100,ZJ200414,,12057897
X9K95199303501,X9K95199303600,31010105102,20200416,100,ZJ200414,,12057897
X9K95199305001,X9K95199305100,31010105102,20200416,100,ZJ200414,,12057897
X9K95199305301,X9K95199305400,31010105102,20200416,100,ZJ200414,,12057897
X0C95406101041,X0C95406101080,31030127103,20200416,40,ZJ200414,,12057897
X0C95406101001,X0C95406101040,31030127103,20200416,40,ZJ200414,,12057897
X0C95406101321,X0C95406101360,31030127103,20200416,40,ZJ200414,,12057897
