Frm_SN,To_SN,Procuct_Id,Sys_Date,Qty,SI,So_Id,Usr_Id
39L95458700421,39L95458700440,31030132102,20200414,20,20100111,,12040303
39L95458700341,39L95458700360,31030132102,20200414,20,20100111,,12040303
X0C95408603061,X0C95408603080,31030119105,20200414,20,20100111,,12040303
X0C95408603181,X0C95408603200,31030119105,20200414,20,20100111,,12040303
X0C95408602661,X0C95408602680,31030119105,20200414,20,20100111,,12040303
X0C95408600881,X0C95408600900,31030119105,20200414,20,20100111,,12040303
X0C95408600861,X0C95408600880,31030119105,20200414,20,20100111,,12040303
X0C95408601061,X0C95408601080,31030119105,20200414,20,20100111,,12040303
X0C95408601201,X0C95408601220,31030119105,20200414,20,20100111,,12040303
X0C95408600961,X0C95408600980,31030119105,20200414,20,20100111,,12040303
X0C95408601021,X0C95408601040,31030119105,20200414,20,20100111,,12040303
X0C95408601181,X0C95408601200,31030119105,20200414,20,20100111,,12040303
X0C95408602861,X0C95408602880,31030119105,20200414,20,20100111,,12040303
X0C95408602621,X0C95408602640,31030119105,20200414,20,20100111,,12040303
X0C95408603101,X0C95408603120,31030119105,20200414,20,20100111,,12040303
X0C95408602601,X0C95408602620,31030119105,20200414,20,20100111,,12040303
X0C95408602681,X0C95408602700,31030119105,20200414,20,20100111,,12040303
X0C95408601101,X0C95408601120,31030119105,20200414,20,20100111,,12040303
X0C95408601401,X0C95408601420,31030119105,20200414,20,20100111,,12040303
X0C95408601121,X0C95408601140,31030119105,20200414,20,20100111,,12040303
X0C95408601561,X0C95408601580,31030119105,20200414,20,20100111,,12040303
X0C95408602921,X0C95408602940,31030119105,20200414,20,20100111,,12040303
X0C95408601221,X0C95408601240,31030119105,20200414,20,20100111,,12040303
X0C95408601241,X0C95408601260,31030119105,20200414,20,20100111,,12040303
X0C95408602881,X0C95408602900,31030119105,20200414,20,20100111,,12040303
X0C95408602561,X0C95408602580,31030119105,20200414,20,20100111,,12040303
X0C95408603121,X0C95408603140,31030119105,20200414,20,20100111,,12040303
X0C95408602541,X0C95408602560,31030119105,20200414,20,20100111,,12040303
X0C95408602821,X0C95408602840,31030119105,20200414,20,20100111,,12040303
X0C95408601361,X0C95408601380,31030119105,20200414,20,20100111,,12040303
X0C95408601301,X0C95408601320,31030119105,20200414,20,20100111,,12040303
X0C95408602641,X0C95408602660,31030119105,20200414,20,20100111,,12040303
X0C95408603041,X0C95408603060,31030119105,20200414,20,20100111,,12040303
X0C95408604021,X0C95408604040,31030119105,20200414,20,20100111,,12040303
