Frm_SN,To_SN,Procuct_Id,Sys_Date,Qty,SI,So_Id,Usr_Id
X7D93995600381,X7D93995600400,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600501,X7D93995600520,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600481,X7D93995600500,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600881,X7D93995600900,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600821,X7D93995600840,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600701,X7D93995600720,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600361,X7D93995600380,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600321,X7D93995600340,31030119109,20200416,20,ZJ200414,,12057897
X7F93995700441,X7F93995700460,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600541,X7D93995600560,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600741,X7D93995600760,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600781,X7D93995600800,31030119109,20200416,20,ZJ200414,,12057897
X7F93995700701,X7F93995700720,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600441,X7D93995600460,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600721,X7D93995600740,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600901,X7D93995600920,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600601,X7D93995600620,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600761,X7D93995600780,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600621,X7D93995600640,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600561,X7D93995600580,31030119109,20200416,20,ZJ200414,,12057897
X7F93995700981,X7F93995701000,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600661,X7D93995600680,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600421,X7D93995600440,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600401,X7D93995600420,31030119109,20200416,20,ZJ200414,,12057897
X7F93995700561,X7F93995700580,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600641,X7D93995600660,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600681,X7D93995600700,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600461,X7D93995600480,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600801,X7D93995600820,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600981,X7D93995601000,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600341,X7D93995600360,31030119109,20200416,20,ZJ200414,,12057897
X7D93995600581,X7D93995600600,31030119109,20200416,20,ZJ200414,,12057897
X0A95438601241,X0A95438601280,31010125104,20200416,40,ZJ200414,,12057897
X0A95438601481,X0A95438601520,31010125104,20200416,40,ZJ200414,,12057897
X0A95438601841,X0A95438601880,31010125104,20200416,40,ZJ200414,,12057897
X0A95438600001,X0A95438600040,31010125104,20200416,40,ZJ200414,,12057897
X0A95438601521,X0A95438601560,31010125104,20200416,40,ZJ200414,,12057897
X0A95438601681,X0A95438601720,31010125104,20200416,40,ZJ200414,,12057897
X0A95438601721,X0A95438601760,31010125104,20200416,40,ZJ200414,,12057897
X0A95438601401,X0A95438601440,31010125104,20200416,40,ZJ200414,,12057897
X0A95438600761,X0A95438600800,31010125104,20200416,40,ZJ200414,,12057897
X0A95438601161,X0A95438601200,31010125104,20200416,40,ZJ200414,,12057897
X0A95438601881,X0A95438601920,31010125104,20200416,40,ZJ200414,,12057897
X0A95438600401,X0A95438600440,31010125104,20200416,40,ZJ200414,,12057897
X0A95438600801,X0A95438600840,31010125104,20200416,40,ZJ200414,,12057897
X0A95438600601,X0A95438600640,31010125104,20200416,40,ZJ200414,,12057897
X0A95438600841,X0A95438600880,31010125104,20200416,40,ZJ200414,,12057897
X0A95438601641,X0A95438601680,31010125104,20200416,40,ZJ200414,,12057897
X0A95438600321,X0A95438600360,31010125104,20200416,40,ZJ200414,,12057897
X0A95438600881,X0A95438600920,31010125104,20200416,40,ZJ200414,,12057897
X0A95438600441,X0A95438600480,31010125104,20200416,40,ZJ200414,,12057897
