Frm_SN,To_SN,Procuct_Id,Sys_Date,Qty,SI,So_Id,Usr_Id
UD2012402781,UD2012402800,31300723102,20200416,20,KL200415,,12057897
UD2012402761,UD2012402780,31300723102,20200416,20,KL200415,,12057897
UD2012402841,UD2012402860,31300723102,20200416,20,KL200415,,12057897
UD2012403201,UD2012403220,31300723102,20200416,20,KL200415,,12057897
UD2012402981,UD2012403000,31300723102,20200416,20,KL200415,,12057897
UD2012403001,UD2012403020,31300723102,20200416,20,KL200415,,12057897
UD2012403181,UD2012403200,31300723102,20200416,20,KL200415,,12057897
UD2012402861,UD2012402880,31300723102,20200416,20,KL200415,,12057897
UD2012403121,UD2012403140,31300723102,20200416,20,KL200415,,12057897
UD2012403141,UD2012403160,31300723102,20200416,20,KL200415,,12057897
UD2012403161,UD2012403180,31300723102,20200416,20,KL200415,,12057897
UD2012402921,UD2012402940,31300723102,20200416,20,KL200415,,12057897
UD2012402901,UD2012402920,31300723102,20200416,20,KL200415,,12057897
UD2012402881,UD2012402900,31300723102,20200416,20,KL200415,,12057897
UD2012403101,UD2012403120,31300723102,20200416,20,KL200415,,12057897
UD2012403081,UD2012403100,31300723102,20200416,20,KL200415,,12057897
UD2012403221,UD2012403240,31300723102,20200416,20,KL200415,,12057897
UD2012403241,UD2012403260,31300723102,20200416,20,KL200415,,12057897
UD2012402941,UD2012402960,31300723102,20200416,20,KL200415,,12057897
UD2012402961,UD2012402980,31300723102,20200416,20,KL200415,,12057897
UD2012402801,UD2012402820,31300723102,20200416,20,KL200415,,12057897
UD2012402821,UD2012402840,31300723102,20200416,20,KL200415,,12057897
UD2012403021,UD2012403040,31300723102,20200416,20,KL200415,,12057897
UD2012403041,UD2012403060,31300723102,20200416,20,KL200415,,12057897
UD2012403061,UD2012403080,31300723102,20200416,20,KL200415,,12057897
UD2012402741,UD2012402760,31300723102,20200416,20,KL200415,,12057897
UD2012402721,UD2012402740,31300723102,20200416,20,KL200415,,12057897
UD2012402701,UD2012402720,31300723102,20200416,20,KL200415,,12057897
UD2012403261,UD2012403280,31300723102,20200416,20,KL200415,,12057897
UD2012403861,UD2012403880,31300723102,20200416,20,KL200415,,12057897
UD2012403881,UD2012403900,31300723102,20200416,20,KL200415,,12057897
UD2012403901,UD2012403920,31300723102,20200416,20,KL200415,,12057897
UD2012403521,UD2012403540,31300723102,20200416,20,KL200415,,12057897
UD2012403501,UD2012403520,31300723102,20200416,20,KL200415,,12057897
UD2012403541,UD2012403560,31300723102,20200416,20,KL200415,,12057897
UD2012403761,UD2012403780,31300723102,20200416,20,KL200415,,12057897
UD2012403741,UD2012403760,31300723102,20200416,20,KL200415,,12057897
UD2012403601,UD2012403620,31300723102,20200416,20,KL200415,,12057897
UD2012403821,UD2012403840,31300723102,20200416,20,KL200415,,12057897
UD2012403841,UD2012403860,31300723102,20200416,20,KL200415,,12057897
UD2012403621,UD2012403640,31300723102,20200416,20,KL200415,,12057897
UD2012403681,UD2012403700,31300723102,20200416,20,KL200415,,12057897
UD2012403661,UD2012403680,31300723102,20200416,20,KL200415,,12057897
UD2012403641,UD2012403660,31300723102,20200416,20,KL200415,,12057897
UD2012403801,UD2012403820,31300723102,20200416,20,KL200415,,12057897
UD2012403781,UD2012403800,31300723102,20200416,20,KL200415,,12057897
UD2012403701,UD2012403720,31300723102,20200416,20,KL200415,,12057897
UD2012403721,UD2012403740,31300723102,20200416,20,KL200415,,12057897
UD2012403581,UD2012403600,31300723102,20200416,20,KL200415,,12057897
UD2012403561,UD2012403580,31300723102,20200416,20,KL200415,,12057897
UD20L3400961,UD20L3400980,31300007402,20200416,20,KL200415,,12057897
UD20L3400881,UD20L3400900,31300007402,20200416,20,KL200415,,12057897
UD20L3400741,UD20L3400760,31300007402,20200416,20,KL200415,,12057897
UD20L3400861,UD20L3400880,31300007402,20200416,20,KL200415,,12057897
UD20L3400841,UD20L3400860,31300007402,20200416,20,KL200415,,12057897
UD20L3400921,UD20L3400940,31300007402,20200416,20,KL200415,,12057897
UD20L3400981,UD20L3401000,31300007402,20200416,20,KL200415,,12057897
UD20L3400781,UD20L3400800,31300007402,20200416,20,KL200415,,12057897
UD20L3400801,UD20L3400820,31300007402,20200416,20,KL200415,,12057897
UD20L3400901,UD20L3400920,31300007402,20200416,20,KL200415,,12057897
UD20L3400721,UD20L3400740,31300007402,20200416,20,KL200415,,12057897
UD20L3400821,UD20L3400840,31300007402,20200416,20,KL200415,,12057897
UD20L3400181,UD20L3400200,31300007402,20200416,20,KL200415,,12057897
UD20L3400761,UD20L3400780,31300007402,20200416,20,KL200415,,12057897
UD20L3400941,UD20L3400960,31300007402,20200416,20,KL200415,,12057897
UD20L3400641,UD20L3400660,31300007402,20200416,20,KL200415,,12057897
UD20L3400621,UD20L3400640,31300007402,20200416,20,KL200415,,12057897
UD20L3400461,UD20L3400480,31300007402,20200416,20,KL200415,,12057897
UD20L3400521,UD20L3400540,31300007402,20200416,20,KL200415,,12057897
UD20L3400321,UD20L3400340,31300007402,20200416,20,KL200415,,12057897
UD20L3400341,UD20L3400360,31300007402,20200416,20,KL200415,,12057897
UD20L3400241,UD20L3400260,31300007402,20200416,20,KL200415,,12057897
UD20L3400261,UD20L3400280,31300007402,20200416,20,KL200415,,12057897
UD20L3400081,UD20L3400100,31300007402,20200416,20,KL200415,,12057897
UD20L3400121,UD20L3400140,31300007402,20200416,20,KL200415,,12057897
UD20L3400601,UD20L3400620,31300007402,20200416,20,KL200415,,12057897
UD20L3400661,UD20L3400680,31300007402,20200416,20,KL200415,,12057897
UD20L3400681,UD20L3400700,31300007402,20200416,20,KL200415,,12057897
UD20L3400401,UD20L3400420,31300007402,20200416,20,KL200415,,12057897
UD20L3400381,UD20L3400400,31300007402,20200416,20,KL200415,,12057897
UD20L3400361,UD20L3400380,31300007402,20200416,20,KL200415,,12057897
UD20L3400001,UD20L3400020,31300007402,20200416,20,KL200415,,12057897
UD20L3400021,UD20L3400040,31300007402,20200416,20,KL200415,,12057897
UD20L3400041,UD20L3400060,31300007402,20200416,20,KL200415,,12057897
UD20L3400581,UD20L3400600,31300007402,20200416,20,KL200415,,12057897
UD20L3400561,UD20L3400580,31300007402,20200416,20,KL200415,,12057897
UD20L3400701,UD20L3400720,31300007402,20200416,20,KL200415,,12057897
UD20L3400201,UD20L3400220,31300007402,20200416,20,KL200415,,12057897
UD20L3400421,UD20L3400440,31300007402,20200416,20,KL200415,,12057897
UD20L3400441,UD20L3400460,31300007402,20200416,20,KL200415,,12057897
UD20L3400281,UD20L3400300,31300007402,20200416,20,KL200415,,12057897
UD20L3400301,UD20L3400320,31300007402,20200416,20,KL200415,,12057897
UD20L3400061,UD20L3400080,31300007402,20200416,20,KL200415,,12057897
UD20L3400101,UD20L3400120,31300007402,20200416,20,KL200415,,12057897
UD20L3400541,UD20L3400560,31300007402,20200416,20,KL200415,,12057897
UD20L3400501,UD20L3400520,31300007402,20200416,20,KL200415,,12057897
UD20L3400481,UD20L3400500,31300007402,20200416,20,KL200415,,12057897
UD20L3400141,UD20L3400160,31300007402,20200416,20,KL200415,,12057897
